lcode,ldesc,mcode,mdesc,scode,sdesc,code
01,"천체, 자연현상, 지도",01,"별, 혜성[Note](a) 군인 계급을 표시하는 별을 포함(b) 스파크(01-15-07), 별 형상의 투척용 무기[닌자 스타](23-01-25), 다윗의 별(24-11-15), 별표(*)모양(24-17-03)은 포함하지 않음",01,별,010101
01,"천체, 자연현상, 지도",01,"별, 혜성[Note](a) 군인 계급을 표시하는 별을 포함(b) 스파크(01-15-07), 별 형상의 투척용 무기[닌자 스타](23-01-25), 다윗의 별(24-11-15), 별표(*)모양(24-17-03)은 포함하지 않음",02,하나의 별,010102
01,"천체, 자연현상, 지도",01,"별, 혜성[Note](a) 군인 계급을 표시하는 별을 포함(b) 스파크(01-15-07), 별 형상의 투척용 무기[닌자 스타](23-01-25), 다윗의 별(24-11-15), 별표(*)모양(24-17-03)은 포함하지 않음",03,두 개의 별,010103
01,"천체, 자연현상, 지도",01,"별, 혜성[Note](a) 군인 계급을 표시하는 별을 포함(b) 스파크(01-15-07), 별 형상의 투척용 무기[닌자 스타](23-01-25), 다윗의 별(24-11-15), 별표(*)모양(24-17-03)은 포함하지 않음",04,세 개의 별,010104
01,"천체, 자연현상, 지도",01,"별, 혜성[Note](a) 군인 계급을 표시하는 별을 포함(b) 스파크(01-15-07), 별 형상의 투척용 무기[닌자 스타](23-01-25), 다윗의 별(24-11-15), 별표(*)모양(24-17-03)은 포함하지 않음",05,네 개 이상의 별[Note]중분류 (01-11)의 성좌 및 성군은 포함하지 않음,010105
01,"천체, 자연현상, 지도",01,"별, 혜성[Note](a) 군인 계급을 표시하는 별을 포함(b) 스파크(01-15-07), 별 형상의 투척용 무기[닌자 스타](23-01-25), 다윗의 별(24-11-15), 별표(*)모양(24-17-03)은 포함하지 않음",06,동일한 중심을 가진 별,010106
01,"천체, 자연현상, 지도",01,"별, 혜성[Note](a) 군인 계급을 표시하는 별을 포함(b) 스파크(01-15-07), 별 형상의 투척용 무기[닌자 스타](23-01-25), 다윗의 별(24-11-15), 별표(*)모양(24-17-03)은 포함하지 않음",08,삼각별,010108
01,"천체, 자연현상, 지도",01,"별, 혜성[Note](a) 군인 계급을 표시하는 별을 포함(b) 스파크(01-15-07), 별 형상의 투척용 무기[닌자 스타](23-01-25), 다윗의 별(24-11-15), 별표(*)모양(24-17-03)은 포함하지 않음",09,사각별,010109
01,"천체, 자연현상, 지도",01,"별, 혜성[Note](a) 군인 계급을 표시하는 별을 포함(b) 스파크(01-15-07), 별 형상의 투척용 무기[닌자 스타](23-01-25), 다윗의 별(24-11-15), 별표(*)모양(24-17-03)은 포함하지 않음",10,오각 이상의 별,010110
01,"천체, 자연현상, 지도",01,"별, 혜성[Note](a) 군인 계급을 표시하는 별을 포함(b) 스파크(01-15-07), 별 형상의 투척용 무기[닌자 스타](23-01-25), 다윗의 별(24-11-15), 별표(*)모양(24-17-03)은 포함하지 않음",12,꼭지점이 불균등한 별 [Note]꼭지점이 불균등한 별로 구성된 스파크를 포함,010112
01,"천체, 자연현상, 지도",01,"별, 혜성[Note](a) 군인 계급을 표시하는 별을 포함(b) 스파크(01-15-07), 별 형상의 투척용 무기[닌자 스타](23-01-25), 다윗의 별(24-11-15), 별표(*)모양(24-17-03)은 포함하지 않음",13,광선 또는 방사선을 가지는 별,010113
01,"천체, 자연현상, 지도",01,"별, 혜성[Note](a) 군인 계급을 표시하는 별을 포함(b) 스파크(01-15-07), 별 형상의 투척용 무기[닌자 스타](23-01-25), 다윗의 별(24-11-15), 별표(*)모양(24-17-03)은 포함하지 않음",14,불완전한(미완성의) 별,010114
01,"천체, 자연현상, 지도",01,"별, 혜성[Note](a) 군인 계급을 표시하는 별을 포함(b) 스파크(01-15-07), 별 형상의 투척용 무기[닌자 스타](23-01-25), 다윗의 별(24-11-15), 별표(*)모양(24-17-03)은 포함하지 않음",15,"혜성, 유성",010115
01,"천체, 자연현상, 지도",01,"별, 혜성[Note](a) 군인 계급을 표시하는 별을 포함(b) 스파크(01-15-07), 별 형상의 투척용 무기[닌자 스타](23-01-25), 다윗의 별(24-11-15), 별표(*)모양(24-17-03)은 포함하지 않음",16,끝이 구형(구체)으로 된 별,010116
01,"천체, 자연현상, 지도",01,"별, 혜성[Note](a) 군인 계급을 표시하는 별을 포함(b) 스파크(01-15-07), 별 형상의 투척용 무기[닌자 스타](23-01-25), 다윗의 별(24-11-15), 별표(*)모양(24-17-03)은 포함하지 않음",17,나침반의 방위면(지침면)[Note]나침반·항해용 나침반(17-05-01)제외,010117
01,"천체, 자연현상, 지도",01,"별, 혜성[Note](a) 군인 계급을 표시하는 별을 포함(b) 스파크(01-15-07), 별 형상의 투척용 무기[닌자 스타](23-01-25), 다윗의 별(24-11-15), 별표(*)모양(24-17-03)은 포함하지 않음",20,사람의 얼굴 또는 동물의 머리를 표현하거나 의인화된 별,010120
01,"천체, 자연현상, 지도",01,"별, 혜성[Note](a) 군인 계급을 표시하는 별을 포함(b) 스파크(01-15-07), 별 형상의 투척용 무기[닌자 스타](23-01-25), 다윗의 별(24-11-15), 별표(*)모양(24-17-03)은 포함하지 않음",25,(01-11)로 분류되지 않는 별의 다른 표현,010125
01,"천체, 자연현상, 지도",03,태양[Note]광선 없이 원형으로만 이루어진 태양(26-01)은 제외,01,해돋이 또는 일몰,010301
01,"천체, 자연현상, 지도",03,태양[Note]광선 없이 원형으로만 이루어진 태양(26-01)은 제외,02,기타 다른 형태의 태양,010302
